Station.name,ws-53A,ws-borssele,ws-WN2,ws-42A,ws-HW6,ws-18,ws-16,ws-12A,ws-15,ws-6,ws-55,ws-13,ws-PVTSS,ws-4,ws-F42,ws-OGDL,ws-OG10,ws-11,ws-15A,ws-A1,ws-W7,ws-A3,ws-2C,ws-25A,ws-TRAWL,ws-F53,ws-12,ws-14,ws-A5,ws-STEEN,ws-25B,ws-23,ws-PPC,ws-DL12,ws-DL7,ws-25,ws-53,acoustic_project_code,Latitude,Longitude,Type,Array,Section
s-8a,53078.5602715911,78652.5051098496,95168.5334888289,53317.0963461529,54355.5794690172,70445.8887802409,71555.8258437132,73200.0192767027,76205.5707317337,75812.7320676901,52564.323646188,77158.3301937747,76809.7908661171,76202.6957197836,53465.6489117351,93325.7381299709,94081.3939166896,77465.4451969951,75795.5873355255,75768.4327313041,94840.0139052858,75258.455954058,76914.0440953126,72680.0326273999,95124.2341524421,53627.0863613235,73951.4071404606,72407.2070885081,74789.9035012487,94205.764154731,71528.6712394912,73955.6669886184,75638.4097340948,94208.5338271456,96356.9540134815,73179.9995325885,53427.099599248,zeeschelde,51.14222,4.32646,Hydrophone,A1,River
s-9,47371.3989521854,72945.3437904439,89461.3721694232,47609.9350267473,48648.4181496116,64738.7274608353,65848.6645243076,67492.857957297,70498.4094123281,70105.5707482845,46857.1623267823,71451.168874369,71102.6295467114,70495.5344003779,47758.4875923294,87618.5768105652,88374.232597284,71758.2838775894,70088.4260161198,70061.2714118984,89132.8525858802,69551.2946346524,71206.882775907,66972.8713079943,89417.0728330364,47919.9250419178,68244.2458210549,66700.0457691025,69082.7421818431,88498.6028353253,65821.5099200855,68248.5056692128,69931.2484146892,88501.37250774,90649.7926940759,67472.8382131829,47719.9382798424,zeeschelde,51.19069,4.32954,Hydrophone,A1,River
s-STD3,21254.2500835365,46828.1949217953,63344.2233007745,21492.7861580984,22531.2692809627,38621.5785921863,39731.5156556586,41375.7090886481,44381.2605436792,43988.4218796356,20740.0134581334,45334.0200057202,44985.4806780626,44378.3855317291,21641.3387236806,61501.4279419167,62257.0837286355,45641.1350089406,43971.2771474709,43944.1225432495,63015.7037172317,43434.1457660035,45089.7339072582,40855.7224393453,63299.9239643879,21802.776173269,42127.096952406,40582.8969004535,42965.5933131942,62381.4539666768,39704.3610514366,42131.3568005639,43814.0995460403,62384.2236390915,64532.6438254274,41355.689344534,21602.7894111935,zeeschelde,51.330504,4.270161,Hydrophone,A1,River
ws-42A,1424.26767482934,26826.6844434122,43342.7128223915,0,1507.10017409723,18620.0681138033,19730.0051772756,21374.1986102651,24379.7500652962,23986.9114012526,2382.86598360228,25332.5095273372,24983.9701996795,24376.8750533461,641.424984678198,41499.9174635336,42255.5732502524,25639.6245305576,23969.7666690879,23942.6120648665,43014.1932388486,23432.6352876205,25088.2234288751,20854.2119609623,43298.4134860049,948.507688686251,22125.586474023,20581.3864220705,22964.0828348112,42379.9434882937,19702.8505730535,22129.8463221808,23812.5890676573,42382.7131607084,44531.1333470443,21354.1788661509,865.675189419029,NA,NA,NA,NA,NA,NA
ws-HW6,2682.8703511249,26865.2337558993,43381.2621348785,1507.10017409723,0,18658.6174262904,19768.5544897626,21412.7479227521,24418.2993777832,24025.4607137396,3724.30115916506,25371.0588398242,25022.5195121666,24415.4243658331,948.507688686251,41538.4667760207,42294.1225627395,25678.1738430446,24008.3159815749,23981.1613773536,43052.7425513357,23471.1846001075,25126.7727413622,20892.7612734494,43336.9627984919,2041.44536644736,22164.13578651,20619.9357345576,23002.6321472982,42418.4928007808,19741.3998855406,22168.3956346679,23851.1383801443,42421.2624731955,44569.6826595314,21392.728178638,2041.44536644736,NA,NA,NA,NA,NA,NA
ws-18,17781.5717530151,12389.1851591305,28202.2879612602,18620.0681138033,18658.6174262904,0,1689.87760558383,4245.40617617853,9239.3252041648,8846.48654012126,17881.5651340529,10192.0846662059,9843.54533854826,9236.45019221477,18968.607441461,26359.4926024022,27115.148389121,10499.1996694263,8249.40126584505,7476.60882176463,27873.7683777172,6386.69150240704,10416.415618977,2565.53844265132,28157.9886248734,17730.1375565212,5493.88593317491,3038.35074361856,5255.34985861307,27239.5186271623,1082.78245925022,4089.7187504891,5606.76419821941,27242.288299577,29390.7084859129,3065.50534783995,17930.1243185966,NA,NA,NA,NA,NA,NA
ws-16,18891.5088164874,11109.3474733755,26512.4103556763,19730.0051772756,19768.5544897626,1689.87760558383,0,2555.5285705947,7549.44759858097,7156.60893453743,18991.5021975251,8502.20706062216,8153.66773296443,7546.57258663094,20078.5445049332,24669.6149968184,25425.2707835372,8867.8991952468,6559.52366026122,5786.7312161808,26183.8907721334,4696.81389682322,9136.57793322192,1124.20678368673,26468.1110192896,18840.0746199934,3804.00832759108,1348.47313803474,3565.47225302924,25549.6410215785,1065.67810110034,2399.84114490531,4082.58389038174,25552.4106939932,27700.8308803291,1624.17368887536,19040.0613820689,NA,NA,NA,NA,NA,NA
ws-12A,20535.7022494769,9139.59021682185,23956.8817850817,21374.1986102651,21412.7479227521,4245.40617617853,2555.5285705947,0,4993.91902798628,4601.08036394274,20635.6956305146,6356.7184098563,5715.2934251781,5049.62114744046,21722.7379379227,22114.0864262238,22869.7422129425,6898.14193869318,4003.99508966653,3231.20264558611,23628.3622015387,2141.28532622852,7166.8206766683,1855.59912773955,23912.5824486949,20484.2680529829,1248.47975699638,1207.05543255996,1589.8842245461,22994.1124509838,3328.32101467446,1224.26476314869,2438.39045739224,22996.8821233985,25145.3023097344,1648.51787957149,20684.2548150584,NA,NA,NA,NA,NA,NA
ws-15,23541.253704508,5082.90529130127,18962.9627570954,24379.7500652962,24418.2993777832,9239.3252041648,7549.44759858097,4993.91902798628,0,807.08190840894,23641.2470855457,2300.03348433599,1741.44099892474,1407.09871825583,24728.2893929538,17120.1673982375,17875.8231849563,2841.4570131726,989.923938319781,2055.60203942078,18634.4431735524,3086.94222737425,3689.96324601812,6673.78676151348,18918.6634207087,23489.8195080141,3745.4392709899,6200.97446054624,4218.2838711683,18000.1934229976,8322.24004266073,5149.60645367577,4569.7951084113,18002.9630954123,20151.3832817482,6173.81985632485,23689.8062700895,NA,NA,NA,NA,NA,NA
ws-6,23148.4150404644,4831.39550989958,19355.8014211389,23986.9114012526,24025.4607137396,8846.48654012126,7156.60893453743,4601.08036394274,807.08190840894,0,23248.4084215021,2048.52370293403,1407.09871825583,741.426440518194,24335.4507289102,17513.0060622811,18268.6618489998,2589.94723177091,1241.43371972147,2307.11182082246,19027.281837596,3338.45200877594,2941.45846901326,6280.94809746998,19311.5020847522,23096.9808439705,3352.60060694639,5808.1357965027,4469.79365256998,18393.0320870411,7929.4013786172,5283.96197226929,4821.30488981298,18395.8017594558,20544.2219457917,5956.71258649376,23296.9676060459,NA,NA,NA,NA,NA,NA
s-7,60530.9379499025,86104.8827881609,102620.91116714,60769.4740244644,61807.9571473287,77898.2664585519,79008.2035220242,80652.3969550138,83657.948410045,83265.1097460014,60016.7013244993,84610.7078720859,84262.1685444283,83655.0733980948,60918.0265900465,100778.115808282,101533.771595001,84917.8228753063,83247.9650138367,83220.8104096153,102292.391583597,82710.8336323693,84366.4217736239,80132.4103057112,102576.611830753,61079.4640396349,81403.7848187718,79859.5847668194,82242.28117956,101658.141833042,78981.0489178024,81408.0446669297,83090.7874124061,101660.911505457,103809.331691793,80632.3772108998,60879.4772775594,zeeschelde,51.11414,4.24123,Hydrophone,A1,River
s-6,62479.3713741635,88053.3162124219,104569.344591401,62717.9074487254,63756.3905715897,79846.6998828129,80956.6369462852,82600.8303792748,85606.381834306,85213.5431702624,61965.1347487604,86559.1412963469,86210.6019686893,85603.5068223559,62866.4600143075,102726.549232543,103482.205019262,86866.2562995674,85196.3984380977,85169.2438338763,104240.825007858,84659.2670566303,86314.8551978849,82080.8437299722,104525.045255014,63027.8974638959,83352.2182430328,81808.0181910804,84190.714603821,103606.575257303,80929.4823420634,83356.4780911907,85039.2208366671,103609.344929718,105757.765116054,82580.8106351608,62827.9107018205,zeeschelde,51.12287,4.2184,Hydrophone,A1,River
ws-55,1041.43080804016,26088.1814636618,42604.209842641,2382.86598360228,3724.30115916506,17881.5651340529,18991.5021975251,20635.6956305146,23641.2470855457,23248.4084215021,0,24594.0065475867,24245.4672199291,23638.3720735956,3024.29096828048,40761.4144837831,41517.0702705019,24901.1215508071,23231.2636893375,23204.1090851161,42275.6902590981,22694.13230787,24349.7204491247,20115.7089812119,42559.9105062544,1765.68829198492,21387.0834942725,19842.8834423201,22225.5798550607,41641.4405085432,18964.3475933031,21391.3433424304,23074.0860879068,41644.2101809579,43792.6303672938,20615.6758864005,1682.8557927177,NA,NA,NA,NA,NA,NA
ws-13,24494.013166549,2782.87180696556,18010.2032950543,25332.5095273372,25371.0588398242,10192.0846662059,8502.20706062216,6356.7184098563,2300.03348433599,2048.52370293403,24594.0065475867,0,641.424984678198,1307.09726241583,25681.0488549948,16167.4079361964,16923.0637229152,541.423528836885,3289.9574226555,4355.63552375649,17681.6837115115,5386.97571170997,1389.9297616824,8212.31753759584,17965.9039586676,24442.5789700551,5342.54717847634,7270.88818539568,6518.31735550401,17047.4339609567,9392.15376751025,7332.48567520332,6869.82859274701,17050.2036333712,19198.6238197071,8005.23628942779,24642.5657321305,NA,NA,NA,NA,NA,NA
s-11,25351.2974894048,50925.2423276635,67441.2707066427,25589.8335639666,26628.3166868309,42718.6259980546,43828.5630615268,45472.7564945163,48478.3079495474,48085.4692855038,24837.0608640016,49431.0674115884,49082.5280839308,48475.4329375973,25738.3861295488,65598.4753477849,66354.1311345037,49738.1824148089,48068.3245533392,48041.1699491178,67112.7511230999,47531.1931718718,49186.7813131264,44952.7698452136,67396.9713702561,25899.8235791372,46224.1443582743,44679.9443063218,47062.6407190624,66478.501372545,43801.4084573048,46228.4042064321,47911.1469519086,66481.2710449597,68629.6912312955,45452.7367504022,25699.8368170617,zeeschelde,51.29646,4.2857,Hydrophone,A1,River
