"","name","xcoord","ycoord","distance_to_source","resolution_unit","resolution_multiplier","type","resolution","station_longitude","station_latitude","receiver","distance","segment"
"54","rup02e_SF_1066",149826,196913,69062,"minutes",5,"O","5M 0S",NA,NA,"ru-1",69062,"rup"
"55","zes09x_SF_1066",144218,220763,105456,"minutes",5,"O","5M 0S",NA,NA,"s-11",89326,"zes_down"
"56","zes24a_SF_1066",147064,207267,82489,"minutes",5,"O","5M 0S",NA,NA,NA,66359,"zes_down"
"57","bnt03a_1066",161304,199907,54418,NA,NA,"tij",NA,NA,NA,NA,54418,"gn"
"58","bnt07a_1066",164216,201830,50343,NA,NA,"tij",NA,NA,NA,"bn-3",50343,"gn"
"59","bnt01c_1066",153901,195925,64278,NA,NA,"tij",NA,NA,NA,NA,64278,"gn"
"60","zes28a_1066",147293,203698,78917,NA,NA,"tij",NA,NA,NA,"s-8",62787,"zes_down"
"61","zes21a_1066",152176.4,213059.53,90671,NA,NA,"tij",NA,NA,NA,NA,74541,"zes_down"
"62","zes14a_1066",145098,217570.5,99970,NA,NA,"tij",NA,NA,NA,NA,83840,"zes_down"
"63","zes10a_1066",144227,220734,105436,NA,NA,"tij",NA,NA,NA,"s-11",89306,"zes_down"
"64","zes01a_1066",140884.7,226513.5,112870,NA,NA,"tij",NA,NA,NA,NA,96740,"zes_down"
