"","acoustic_project_code","station_name","deploy_latitude","deploy_longitude"
"135","bpns","bpns-CNB09",51.66936,2.7976
"136","bpns","bpns-CNB10",51.66811,2.80066
"137","bpns","bpns-CNB11",51.66653,2.8034
"138","bpns","bpns-CNB12",51.66854,2.79434
"139","bpns","bpns-CNB13",51.66725,2.79721
"140","bpns","bpns-CNB14",51.66594,2.79998
"141","bpns","bpns-CPowerReefballs",51.5800044,2.9954894
"142","bpns","bpns-CPowerReefballs-EMOBON",51.579833,2.9955
"143","bpns","bpns-D1",51.2325,2.643166667
"144","bpns","bpns-Duc de Normandie",51.4253,2.6055
"145","bpns","bpns-GARDENCITY",51.485333,2.298666667
"146","bpns","bpns-HD17",51.37233,3.357733
"147","bpns","bpns-herdersbrug",51.276209,3.211062
"148","bpns","bpns-KB2",51.350667,2.703666667
"149","bpns","bpns-Kilmore",51.3955,2.4965
"150","bpns","bpns-LNG",51.345261,3.212218
"151","bpns","bpns-LottoBuoy",51.5666667,2.983333
"152","bpns","bpns-middelkerkebank",51.3033,2.7125
"153","bpns","bpns-NHSE",51.757,2.665333333
"154","bpns","bpns-nieuwpoortbank",51.1695,2.6015
"155","bpns","bpns-NIEUWPOORTKUST8",51.160167,2.691833333
"156","bpns","bpns-NobelwindG10",51.63131,2.80156
"157","bpns","bpns-Noordede",51.223,2.9451
"158","bpns","bpns-NRT4",51.37233,3.357733
"159","bpns","bpns-O6",51.243106,2.917725
"160","bpns","bpns-OH1",51.240014,2.917553
"161","bpns","bpns-OOSTDYCK",51.356333,2.518666667
"162","bpns","bpns-radar",51.2741,2.447967
"163","bpns","bpns-RTNZ01",51.55004529,2.940354651
"164","bpns","bpns-RTNZ02",51.54877,2.93566
"165","bpns","bpns-RTNZ03",51.54813,2.93679
"166","bpns","bpns-RTNZ04",51.54795,2.93738
"167","bpns","bpns-RTNZ05",51.54766,2.93799
"168","bpns","bpns-RTNZ06",51.54584,2.94207
"169","bpns","bpns-RTNZ07",51.5456,2.94265
"170","bpns","bpns-RYCO",51.2247,2.9408
"171","bpns","bpns-S4",51.417167,3.0475
"172","bpns","bpns-S7",51.399667,3.173666667
"173","bpns","bpns-Trapegeer",51.1403333333,2.573
"174","bpns","bpns-vandamme",51.329852,3.2177857
"175","bpns","bpns-VG2",51.4325,2.802
"176","bpns","bpns-visart",51.329591,3.198043
"177","bpns","bpns-visartboudewijn",51.324999,3.199202
"178","bpns","bpns-vvw",51.14101,2.744052
"179","bpns","bpns-W1",51.391333,3.303666667
"180","bpns","bpns-WENDUINEBANKW",51.287167,2.879166667
"181","bpns","bpns-Whitley",51.1511666667,2.6603333333
"182","bpns","bpns-WK12",51.461167,3.107
"183","bpns","bpns-WK14",51.3685,3.262
"184","bpns","bpns-WKSabrina",51.221667,2.518683
"185","bpns","bpns-WZ",51.376167,3.178666667
"186","bpns","bpns-ZA2",51.3513,3.19883
"187","bpns","bpns-ZAND4",51.359,3.20318
"188","bpns","bpns-zbe1",51.364298,3.200701
"189","bpns","bpns-zbe2",51.363162,3.211188
"190","bpns","bpns-zbe3",51.362374,3.220989
"191","bpns","bpns-zbw1",51.362906,3.183634
"192","bpns","bpns-zbw2",51.359012,3.177194
"193","bpns","bpns-zbw3",51.355063,3.169958
"194","bpns","bpns-ZOKN",51.357167,3.1905
"195","bpns","bpns-ZW1",51.35718,3.19037
"196","bpns","CPowerReefballs-EMOBON",51.579833,2.9955
"197","bpns","surface-Nieuwpoortbank",51.1695,2.6015
"198","bpns","surface-Trapegeer",51.1403333333,2.573
"199","bpns","surface-Withley",51.1511666667,2.6603333333
"200","dijle","M-1",51.01136918,4.520968635
"201","dijle","M-2",51.02082596,4.498485779
"202","dijle","M-3",51.0229057,4.497271313
"203","dijle","M-4",51.02483717,4.495207458
"204","dijle","M-4A",51.025057,4.495476
"205","dijle","M-5",51.0340958,4.471940005
"206","dijle","M-6",51.05546566,4.442865645
"207","dijle","M-7",51.0746085,4.39848069
"208","dijle","me-7-2",51.082219,4.366229
"209","dijle","me-7-2b",51.1008,4.330483
"210","dijle","Test Rotselaar",50.947345,4.702879
"211","life4fish","amp_2017_1",50.53441478,5.29621659
"212","life4fish","amp_2017_2",50.53409801,5.296016623
"213","life4fish","amp_2017_3",50.53399485,5.296263513
"214","life4fish","amp_2017_4",50.53380366,5.296184266
"215","life4fish","amp_2017_5",50.5335701,5.296076378
"216","life4fish","amp_2017_6",50.53334208,5.295971291
"217","life4fish","amp_2017_7",50.53310924,5.295848023
"218","life4fish","amp_2017_8",50.53231286,5.295921703
"219","life4fish","amp_2017_9",50.54118273,5.32768533
"220","life4fish","Ampsin_aval_RD",50.54373735,5.33312898
"221","life4fish","Ampsin_aval_RG",50.54410684,5.33260983
"222","life4fish","Ampsin_Culee_1_(RG)",50.53377519,5.29615896
"223","life4fish","Ampsin_Culee_2_(milieu)",50.5335486,5.29604129
"224","life4fish","Ampsin_Culee_3_(RD)",50.53332202,5.29588209
"225","life4fish","Ampsin_Maul_centrale_cote_culee",50.53401058,5.29630778
"226","life4fish","Ampsin_prise_d_eau_RD",50.53417117,5.29606206
"227","life4fish","Ampsin_prise_d_eau_RG",50.53441095,5.29626279
"228","life4fish","and_2017",50.493017,5.074436
"229","life4fish","and_2017_1",50.49395642,5.070476812
"230","life4fish","and_2017_2",50.49306571,5.069881618
"231","life4fish","and_2017_3",50.49283778,5.069837822
"232","life4fish","and_2017_4",50.49261279,5.069802926
"233","life4fish","and_2017_5",50.49240683,5.06976097
"234","life4fish","and_2017_6",50.49216855,5.069694099
"235","life4fish","and_2017_7",50.49191847,5.069650004
"236","life4fish","and_2017_8",50.49379254,5.096080728
"237","life4fish","Andenne_aval_(RD)",50.49382129,5.096384458
"238","life4fish","Andenne_aval_(RG)",50.49421683,5.096172149
"239","life4fish","Andenne_Culee_1_(RG)",50.49308567,5.069811757
"240","life4fish","Andenne_Culee_2_(MG)",50.4928686,5.069777635
"241","life4fish","Andenne_culee_3_(MD)",50.4926443,5.069732141
"242","life4fish","Andenne_culee_4_(RD)",50.49243929,5.069682855
"243","life4fish","Andenne_prise_d_eau_(RD)",50.49197379,5.069588074
"244","life4fish","Andenne_prise_d_eau_(RG)",50.49215227,5.069605135
"245","life4fish","Canal_Albert_RD",50.65446581,5.622666635
"246","life4fish","Canal_Albert_RG",50.65506587,5.622369169
"247","life4fish","gm_2017",50.465997,4.898861
"248","life4fish","gm_2017_1",50.46704382,4.89925783
"249","life4fish","gm_2017_2",50.46683041,4.899184168
"250","life4fish","gm_2017_3",50.46658338,4.899094741
"251","life4fish","gm_2017_4",50.46638589,4.898989579
"252","life4fish","gm_2017_5",50.46619886,4.898794843
"253","life4fish","gm_2017_6",50.46623552,4.898478805
"254","life4fish","gm_2017_7",50.46612397,4.898865132
"255","life4fish","gm_2017_8",50.46611505,4.898739338
