,animal_project_code,scientific_name,tag_serial_number,acoustic_tag_id,capture_date_time,capture_location,capture_latitude,capture_longitude,capture_method,release_date_time,release_location,release_latitude,release_longitude,length1_type,length1,length1_unit,length2_type,length2,length2_unit,length3_type,length3,length3_unit,length4_type,length4,length4_unit,weight,weight_unit,age,age_unit,sex,life_stage,treatment_type
16,2019_Grotenete,Anguilla anguilla,1294158,"A69-9006-3972,A69-9006-3973",2/10/2019 8:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,669,mm,vertical eye diameter,8.94,mm,horizontal eye diameter,9.8,mm,pectoral fin length,31.68,mm,631,g,NA,NA,female,FV,NA
17,2019_Grotenete,Anguilla anguilla,1294159,"A69-9006-3974,A69-9006-3975",2/10/2019 8:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,2/10/2019 13:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,779,mm,vertical eye diameter,9.38,mm,horizontal eye diameter,10.1,mm,pectoral fin length,40.18,mm,872,g,NA,NA,female,FV,NA
18,2019_Grotenete,Anguilla anguilla,1305786,A69-1602-11943,3/10/2019 8:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,3/10/2019 12:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,629,mm,vertical eye diameter,8.7,mm,horizontal eye diameter,8.73,mm,pectoral fin length,28.92,mm,407,g,NA,NA,female,FV,NA
19,2019_Grotenete,Anguilla anguilla,1294160,"A69-9006-3976,A69-9006-3977",3/10/2019 8:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,3/10/2019 12:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,778,mm,vertical eye diameter,10.67,mm,horizontal eye diameter,11.55,mm,pectoral fin length,44,mm,834,g,NA,NA,female,FV,NA
20,2019_Grotenete,Anguilla anguilla,1294161,"A69-9006-3978,A69-9006-3979",3/10/2019 8:00,Downstream confluent Molse Nete and Grote Nete,51.144938,5.003962,Fyke net,3/10/2019 12:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,679,mm,vertical eye diameter,9.13,mm,horizontal eye diameter,9.26,mm,pectoral fin length,36.61,mm,730,g,NA,NA,female,FV,NA
21,2019_Grotenete,Anguilla anguilla,1305785,A69-1602-11942,8/10/2019 8:00,Downstream weir Maelesbroek,51.149272,5.011614,Fyke net,8/10/2019 9:00,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,660,mm,vertical eye diameter,8.46,mm,horizontal eye diameter,9.58,mm,pectoral fin length,35,mm,385,g,NA,NA,female,FV,NA
22,2019_Grotenete,Anguilla anguilla,1171746,A69-1601-26500,9/10/2019 14:30,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,9/10/2019 17:30,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,691,mm,vertical eye diameter,8.69,mm,horizontal eye diameter,9.59,mm,pectoral fin length,34.69,mm,571,g,NA,NA,female,FV,NA
23,2019_Grotenete,Anguilla anguilla,1171747,A69-1601-26501,9/10/2019 14:30,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,9/10/2019 17:30,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,641,mm,vertical eye diameter,6.61,mm,horizontal eye diameter,7.08,mm,pectoral fin length,30.33,mm,459,g,NA,NA,female,FIII,NA
24,2019_Grotenete,Anguilla anguilla,1171753,A69-1601-26507,9/10/2019 14:30,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,9/10/2019 17:30,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,635,mm,vertical eye diameter,9.19,mm,horizontal eye diameter,9.77,mm,pectoral fin length,35.63,mm,462,g,NA,NA,female,FV,NA
25,2019_Grotenete,Anguilla anguilla,1305784,A69-1602-11941,10/10/2019 9:30,Downstream fish ladder Meerhout,51.136875,5.081571,Fyke net,10/10/2019 11:30,Downstream confluent Grote Nete and Molse Nete,51.144779,5.003906,total length,555,mm,vertical eye diameter,8.9,mm,horizontal eye diameter,8.84,mm,pectoral fin length,33.2,mm,276,g,NA,NA,female,FV,NA
